SMILES,pIC50,logP
O=C1CCc2ccc(OCCCCN3CCN(c4cccc5c4OCCO5)CC3)cc2N1,9.52,3.3237000000000014
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,9.52,3.942700000000003
O=Cc1cnn2ccc(NC(=O)CCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc12,9.52,3.994500000000003
O=S(=O)(c1cccc2cnccc12)N1CCC[C@@H]1CCN1CCN(c2nsc3ccccc23)CC1,9.52,4.209900000000004
CC(C)(C)C(=O)NCCN1CC=C(c2cccc(C(F)(F)F)n2)CC1,9.52,3.3518000000000017
O=S(=O)(NCCCCN1CC=C(c2c[nH]c3ccc(F)cc23)CC1)c1ccc2ccccc2c1,9.52,5.308000000000004
C=CCN1CC[C@@H]2Cc3c(O)cccc3C[C@H]21,9.52,2.3673
CN([C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)S(=O)(=O)c1cccs1,9.52,4.749400000000005
COCOc1ccc2c(c1OCOC)-c1cccc3c1[C@@H](C2)N(C)CC3,9.52,3.4041000000000023
O=C(CCCN1C2CCC1CC(O)(c1ccc(Cl)cc1)C2)c1ccc(F)cc1,9.51,4.956600000000004
N#Cc1cnn2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc12,9.49,4.493980000000004
O=C(CCCN1CCC(O)(c2ccc(C(F)(F)F)cc2)CC1)c1ccc(F)cc1,9.49,4.791000000000004
O=C1CCc2cc(CCCCN3CCN(c4cccc5sc(F)cc45)CC3)ccc2N1,9.49,5.070000000000005
O=C(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1cc2ccccc2o1,9.49,5.543400000000005
O=C(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1ccccc1,9.48,4.797200000000005
CCCN1CCO[C@@H]2c3cc(O)ccc3CC[C@H]21.Cl,9.47,2.912100000000002
CN1CCN(C2Cc3ccccc3Sc3ccc(Cc4nnn(C)n4)cc32)CC1,9.46,2.7967000000000013
O=S(=O)(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1cccnc1,9.46,3.740700000000003
CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,9.45,4.271100000000003
C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,9.44,3.193900000000001
CC(C)(C)NC(=O)C1C(=O)NCCN1C(=O)CCCN1CCN(c2cccc(Cl)c2Cl)CC1,9.43,2.1372999999999998
CC(C)(C)[C@@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc(c43)[C@H]2C1,9.43,4.844800000000005
