SMILES,pIC50,logP
COC(=O)N[C@H]1CC[C@H](C(=O)N2C[C@@H](N(C)C(=O)N(C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@H](c3ccc(F)cc3)C2)CC1,10.31,6.260700000000006
CSCC[C@H](NC(=O)CNC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CO)C(C)(C)C)C(C)C)[C@@H](C)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)O)[C@@H](C)O,10.31,-13.374259999999904
COc1ccc(-n2nnnc2C(F)(F)F)cc1CN[C@H]1CCN(C(C)=O)C[C@H]1c1ccccc1.Cl,10.31,3.605700000000003
COc1ccc(-c2c(C)noc2C)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,10.3,4.549940000000003
COc1ccc(Br)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,10.3,4.040600000000002
Cc1cc(F)ccc1-c1cc(C2CNC(=O)C2CO)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1.Cl,10.3,6.4180200000000065
C[C@@H](O[C@H]1CN2C(=O)C(n3cnnc3)C[C@H]2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.3,5.540600000000004
O=c1[nH]nc(CN2CCC[C@H](OCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@@H]2c2ccccc2)[nH]1,10.3,5.058100000000003
COc1ccc(-n2cnnn2)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,10.3,2.2538
CCc1nnnn1-c1ccc(OC)c(CN[C@H]2CCCN[C@H]2c2ccccc2)c1.Cl.Cl,10.3,3.6598000000000024
COc1ccc(-n2nnnc2C)cc1CN[C@H]1CCCN[C@H]1c1ccccc1.Cl.Cl,10.3,3.405820000000002
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.3,4.106500000000007
